id,(Intercept),SoilProfileL,SpeciesPS,SpeciesSOBI,AmendmentControl,AmendmentTBA,TimePeriodB,TimePeriodC,TimePeriodD
d__Bacteria;p__Elusimicrobiota,0.09767645497822008,0.3770452948887517,0.1787511243117647,0.015928393596533294,-0.0826609568900699,0.006019583244367396,-0.016622652106671947,-0.005930207934671611,0.5590849451444337
d__Bacteria;p__Cyanobacteria,2.648109651316269,-1.3450923351261355,-0.4780467987125282,0.07131577121982102,-0.007855594100877064,-0.1578740616273449,0.05564238753769743,0.9826972904742759,1.0201280328012217
d__Bacteria;p__Bdellovibrionota,1.1326378768187662,-0.6327549844179328,-0.07584812527709724,0.244296607297245,0.05402281035070258,0.08738782371807668,0.2746615404713986,0.5598261404484222,0.8882103135500399
d__Bacteria;p__Armatimonadota,3.0499981966441503,-0.6502988040882289,0.05046463909911001,0.088177484166078,0.07959002300669085,0.03019380381922135,0.10749668471648519,-0.09460881065986915,-0.06993711363650923
d__Bacteria;p__Desulfobacterota,2.8846096752094175,1.0347135051019531,0.16608832042833455,-0.14125708208041649,0.027725064701871582,0.11281452242088855,-0.1849910660841073,-0.6950826706446026,-0.2539378414133686
d__Bacteria;p__NB1-j,3.490216043154601,1.1612180412339712,0.13984573194799313,-0.1754719501731143,-0.1558763070513132,0.01377763386876843,-0.21158451116568028,-0.8071751995665515,-0.3211772837517287
d__Bacteria;p__WPS-2,-0.2830818159055566,-0.6484520294673781,-0.027764319994129504,0.583518871054741,-0.13742062763899107,-0.07067322632250543,0.1540699445354018,0.006749143367390964,0.07286158119093211
d__Bacteria;p__SAR324_clade(Marine_group_B),-0.14440437303762765,0.6448999823798628,0.13141291071583694,-0.03250993225813338,-0.09044928668024045,-0.04615813950247778,-0.6522295597400231,-0.7584315189604836,-0.5482826093115865
d__Bacteria;p__Nitrospirota,4.06064342839759,0.47873209016048734,-0.058411347180434815,0.0013131175575885612,0.04467166765777217,0.08125787492220846,0.05540421724226882,-0.1703834924844296,0.1715071143723914
d__Bacteria;p__Dependentiae,-0.07011767794782875,0.7360963349077866,0.2077094169220808,0.057781804004346515,0.22651100677898497,0.10263544130161528,-0.2735881976450226,-0.6369846593777051,0.2440691563153794
